,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,name,person
7597,7597,2019-01-05 23:16:48,571365235126,fraud_Welch Inc,misc_net,8.55,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,f37c949bbdc8addd1e2e4fb30ab8f8c0,1325805408,44.650707,-86.180953,0,Barbara Taylor,Barbara Taylor 1995-07-12
7928,7928,2019-01-06 04:00:59,571365235126,fraud_Bernhard Inc,gas_transport,90.35,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,effd2a3df1567c420686d95fbeb37d13,1325822459,45.020832,-86.319002,0,Barbara Taylor,Barbara Taylor 1995-07-12
7964,7964,2019-01-06 04:35:32,571365235126,fraud_Conroy-Cruickshank,gas_transport,54.21,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,04073ba960e77dd2bf225199c14381ed,1325824532,45.126031,-86.21211600000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
8117,8117,2019-01-06 06:46:46,571365235126,fraud_Corwin-Gorczany,misc_net,107.54,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,a78a2552248857e47d7a6218d3905b51,1325832406,44.001378,-87.153061,0,Barbara Taylor,Barbara Taylor 1995-07-12
8322,8322,2019-01-06 09:59:35,571365235126,fraud_Mraz-Herzog,gas_transport,63.4,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,01debf86f68e7fb4d2e34edde33285b1,1325843975,44.720379,-86.892104,0,Barbara Taylor,Barbara Taylor 1995-07-12
8343,8343,2019-01-06 10:17:22,571365235126,fraud_McDermott-Weimann,grocery_pos,116.0,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,eff550dc0007ccd24aea0b5d9cd0cb2f,1325845042,45.026628,-85.687638,0,Barbara Taylor,Barbara Taylor 1995-07-12
8354,8354,2019-01-06 10:26:48,571365235126,fraud_Padberg-Welch,grocery_pos,108.04,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,2cc128ede159ce4ca19b9e9b734b0442,1325845608,44.670623,-86.149046,0,Barbara Taylor,Barbara Taylor 1995-07-12
8559,8559,2019-01-06 13:02:46,571365235126,"fraud_O'Connell, Botsford and Hand",home,4.37,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c695cc639989033f96c916bd9c607596,1325854966,43.967521000000005,-86.017337,0,Barbara Taylor,Barbara Taylor 1995-07-12
10035,10035,2019-01-07 04:15:11,571365235126,fraud_Kling Inc,gas_transport,55.71,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,77c19a6515fcfa02ff2942e173fd41b7,1325909711,44.627253,-86.670905,0,Barbara Taylor,Barbara Taylor 1995-07-12
10153,10153,2019-01-07 05:47:26,571365235126,fraud_Padberg-Welch,grocery_pos,88.52,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,dde9735fa217ec217ca08738d2c99053,1325915246,43.964605,-86.191299,0,Barbara Taylor,Barbara Taylor 1995-07-12
10459,10459,2019-01-07 09:47:31,571365235126,"fraud_Schultz, Simonis and Little",grocery_pos,126.74,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,f8bc3ea859d4978ed54eeddc930c5eaa,1325929651,45.399249,-86.054512,0,Barbara Taylor,Barbara Taylor 1995-07-12
12465,12465,2019-01-08 04:37:54,571365235126,fraud_Ledner-Pfannerstill,gas_transport,34.5,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,d3fca43288302a53c7956a54075300cf,1325997474,43.803265,-85.354515,0,Barbara Taylor,Barbara Taylor 1995-07-12
12704,12704,2019-01-08 07:59:45,571365235126,"fraud_Goldner, Kovacek and Abbott",grocery_pos,101.49,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,98794be8b81b8ddb6418d30da6e6057a,1326009585,44.005291,-85.809853,0,Barbara Taylor,Barbara Taylor 1995-07-12
12716,12716,2019-01-08 08:05:55,571365235126,fraud_Huel-Langworth,misc_net,324.23,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,70eb50dbd7380658317ee1ea985f18cf,1326009955,45.490258,-86.51726500000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
13243,13243,2019-01-08 13:52:13,571365235126,fraud_Heathcote LLC,shopping_net,8.56,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,3b1cb3fa39872d66d11091a186fe9fe3,1326030733,44.325944,-86.215905,0,Barbara Taylor,Barbara Taylor 1995-07-12
13426,13426,2019-01-08 15:37:31,571365235126,"fraud_Zboncak, Rowe and Murazik",shopping_net,5.32,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,ee0b86ed2f198ccf8a6e1434104d05e9,1326037051,43.64106,-85.68097399999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
13545,13545,2019-01-08 16:41:31,571365235126,fraud_Schroeder Group,health_fitness,23.37,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,2c6b021cdba9683c21f33af043920170,1326040891,45.39171,-85.236188,0,Barbara Taylor,Barbara Taylor 1995-07-12
13595,13595,2019-01-08 17:02:34,571365235126,fraud_Boyer PLC,misc_pos,179.13,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,7e749480e277ef3b7212c9cfcef3acd6,1326042154,45.582471000000005,-86.962058,0,Barbara Taylor,Barbara Taylor 1995-07-12
13786,13786,2019-01-08 18:41:28,571365235126,fraud_Schuppe LLC,entertainment,221.08,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,036dd3127c33a296ef9337c0f2ffc258,1326048088,45.161705,-86.374125,0,Barbara Taylor,Barbara Taylor 1995-07-12
14954,14954,2019-01-09 13:48:05,571365235126,"fraud_Runolfsdottir, Mueller and Hand",entertainment,35.31,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,210c2a8ab75418429b3faa02a2763539,1326116885,44.252219,-85.785821,0,Barbara Taylor,Barbara Taylor 1995-07-12
15246,15246,2019-01-09 18:34:49,571365235126,fraud_Williamson LLC,misc_pos,6.85,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,8156a77a97392fd16343b73e5d856fab,1326134089,45.262879,-86.64483,0,Barbara Taylor,Barbara Taylor 1995-07-12
15849,15849,2019-01-10 07:31:23,571365235126,"fraud_Mosciski, Gislason and Mertz",grocery_pos,108.18,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,fc35e64b2f777b95fa43410bbe20b688,1326180683,44.877628,-87.044214,0,Barbara Taylor,Barbara Taylor 1995-07-12
16554,16554,2019-01-10 20:04:38,571365235126,fraud_Sporer-Keebler,personal_care,6.74,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,d8cfe223a4445ee3e84eb4fcf5f47c42,1326225878,45.084474,-86.663742,0,Barbara Taylor,Barbara Taylor 1995-07-12
16906,16906,2019-01-11 01:40:33,571365235126,"fraud_Rowe, Batz and Goodwin",grocery_pos,74.63,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,e56979379762ae3c8b6548d44cfd8574,1326246033,45.410611,-85.751049,0,Barbara Taylor,Barbara Taylor 1995-07-12
16933,16933,2019-01-11 02:18:31,571365235126,"fraud_Mosciski, Gislason and Mertz",grocery_pos,78.16,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,5f8b1ccb5f7c4c2a00331f655c36b04d,1326248311,43.957281,-85.668856,0,Barbara Taylor,Barbara Taylor 1995-07-12
17020,17020,2019-01-11 04:03:04,571365235126,fraud_Miller-Harris,misc_net,5.55,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,b612763771121cfda7b0038c5d552c63,1326254584,45.451181,-86.257999,0,Barbara Taylor,Barbara Taylor 1995-07-12
17037,17037,2019-01-11 04:23:09,571365235126,"fraud_Christiansen, Goyette and Schamberger",gas_transport,45.75,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,d49213b8a8676ea44dfa77a0a2b99180,1326255789,44.304778000000006,-86.889997,0,Barbara Taylor,Barbara Taylor 1995-07-12
17088,17088,2019-01-11 05:25:05,571365235126,"fraud_Raynor, Feest and Miller",gas_transport,48.39,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c9784e4d9aa81890dfc2a1eaadfcd1b7,1326259505,44.763242,-85.617676,0,Barbara Taylor,Barbara Taylor 1995-07-12
17348,17348,2019-01-11 10:13:07,571365235126,fraud_Friesen-Stamm,gas_transport,61.92,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,f1fd3db9baa4d45d1fe51784c72b1eee,1326276787,44.709382,-85.910729,0,Barbara Taylor,Barbara Taylor 1995-07-12
17597,17597,2019-01-11 14:30:56,571365235126,"fraud_Cormier, Stracke and Thiel",entertainment,159.63,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,4f9735d342771674051e615cf108075a,1326292256,44.386388,-85.809003,0,Barbara Taylor,Barbara Taylor 1995-07-12
17680,17680,2019-01-11 15:39:47,571365235126,fraud_Watsica LLC,personal_care,12.93,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c3c3095fdf92c06bdb846667b8b5e851,1326296387,44.208025,-87.013239,0,Barbara Taylor,Barbara Taylor 1995-07-12
17891,17891,2019-01-11 18:48:56,571365235126,"fraud_Cronin, Kshlerin and Weber",health_fitness,62.18,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,4bbb55c152e08e332764a596205e461b,1326307736,45.524385,-86.53712800000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
18391,18391,2019-01-12 02:46:00,571365235126,fraud_Friesen-D'Amore,gas_transport,56.79,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,b60988e721124495040f0846b78d4bbd,1326336360,44.577525,-86.372334,0,Barbara Taylor,Barbara Taylor 1995-07-12
20801,20801,2019-01-13 15:21:14,571365235126,fraud_Boyer PLC,misc_pos,8.15,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,700b0bcc99b1a5ed1d82547ad4356edf,1326468074,43.89783,-85.887597,0,Barbara Taylor,Barbara Taylor 1995-07-12
20926,20926,2019-01-13 16:33:27,571365235126,"fraud_Mueller, Gerhold and Mueller",health_fitness,33.7,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,5e9c94ef5e51044616b70d3010e156f6,1326472407,44.582382,-85.31424799999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
21002,21002,2019-01-13 17:22:21,571365235126,"fraud_Monahan, Bogisich and Ledner",misc_pos,1.48,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,1c1307927e8455fff4519c1eff63de30,1326475341,44.620708,-87.10815699999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
22061,22061,2019-01-14 04:16:50,571365235126,fraud_Emmerich-Luettgen,grocery_net,71.54,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,fe4e9fa549d56f19960ea4695f92827e,1326514610,43.863436,-86.65674399999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
22816,22816,2019-01-14 13:39:30,571365235126,fraud_Ratke and Sons,health_fitness,420.65,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,2f8661653331a8281eed5bf245b903f8,1326548370,44.444075,-85.480231,0,Barbara Taylor,Barbara Taylor 1995-07-12
23309,23309,2019-01-14 17:27:07,571365235126,fraud_Hirthe-Beier,health_fitness,65.98,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,53a97635dc3e56676da258efe92f0a0b,1326562027,45.06045,-86.93924100000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
23513,23513,2019-01-14 19:04:13,571365235126,fraud_Fisher Inc,shopping_net,1.37,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,5d2f281065a57b96c3e7d791c79a1730,1326567853,43.961667,-85.427137,0,Barbara Taylor,Barbara Taylor 1995-07-12
24397,24397,2019-01-15 03:23:14,571365235126,fraud_Cassin-Harvey,grocery_net,53.41,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,f507a531b7741403db51fdb6acedfc0f,1326597794,44.877198,-86.94465500000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
25454,25454,2019-01-15 15:36:33,571365235126,fraud_Ziemann-Waters,health_fitness,7.47,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,a1e142098f2fe76f6cfb53ba32f58f8f,1326641793,44.888079,-85.929771,0,Barbara Taylor,Barbara Taylor 1995-07-12
25612,25612,2019-01-15 16:59:12,571365235126,fraud_Swift PLC,kids_pets,19.84,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,848aac5382f1d022c1f1ee1bbefdf1ea,1326646752,44.495336,-86.86368,0,Barbara Taylor,Barbara Taylor 1995-07-12
26082,26082,2019-01-15 20:30:50,571365235126,fraud_Schoen Ltd,kids_pets,195.34,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,7e14b9960ca37155a9f63b610d9c5909,1326659450,44.3056,-85.510937,0,Barbara Taylor,Barbara Taylor 1995-07-12
27011,27011,2019-01-16 12:13:44,571365235126,fraud_Jacobi and Sons,shopping_pos,9.19,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c99af5cfc085cdea019bfd23dd97bcb0,1326716024,45.474282,-86.633256,0,Barbara Taylor,Barbara Taylor 1995-07-12
27193,27193,2019-01-16 15:11:12,571365235126,fraud_Erdman-Schaden,personal_care,10.76,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,e0aec8db86475cefbfac810b2897df6a,1326726672,43.676558,-87.08651,0,Barbara Taylor,Barbara Taylor 1995-07-12
27320,27320,2019-01-16 17:14:54,571365235126,fraud_Renner Ltd,home,33.91,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,9840bb2945cf04ad9a9824a01e34e3a1,1326734094,44.054099,-86.16209,0,Barbara Taylor,Barbara Taylor 1995-07-12
28396,28396,2019-01-17 15:30:11,571365235126,fraud_Herman Inc,misc_pos,6.63,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,5482f27802b245e18eb7220d95371245,1326814211,44.306205,-85.60776899999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
28418,28418,2019-01-17 15:50:59,571365235126,fraud_Jewess LLC,shopping_pos,2.28,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,25b63332303c4db6c9d91862f8874196,1326815459,44.03063,-86.900093,0,Barbara Taylor,Barbara Taylor 1995-07-12
28844,28844,2019-01-17 22:56:43,571365235126,fraud_Labadie LLC,personal_care,170.54,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,b7b8fe440e0abf5e9b8cf1e27cafa385,1326841003,44.703713,-87.212805,0,Barbara Taylor,Barbara Taylor 1995-07-12
30721,30721,2019-01-19 09:22:58,571365235126,fraud_Koepp-Witting,grocery_pos,107.39,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,3d5cb1ba1ea94fb809fb1df48e53b42f,1326964978,44.266667,-85.847022,0,Barbara Taylor,Barbara Taylor 1995-07-12
30761,30761,2019-01-19 10:21:44,571365235126,fraud_Cummings LLC,gas_transport,68.72,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,d05f6b890e07d7cbca828ff0d3eafd54,1326968504,45.22878,-85.895422,0,Barbara Taylor,Barbara Taylor 1995-07-12
30850,30850,2019-01-19 12:11:40,571365235126,fraud_Bogisich-Weimann,kids_pets,372.46,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,eec55970b6f1d8315783905193c26aff,1326975100,45.058606,-86.85564000000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
31014,31014,2019-01-19 14:29:50,571365235126,fraud_Bins-Tillman,entertainment,114.72,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,e420d9607ae502389815c63f689eb1ee,1326983390,44.203411,-86.102947,0,Barbara Taylor,Barbara Taylor 1995-07-12
31597,31597,2019-01-19 23:26:23,571365235126,fraud_Greenholt Ltd,health_fitness,37.0,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,3586553c588e5bf2b7ea1cd148c9cf3a,1327015583,44.636982,-85.891126,0,Barbara Taylor,Barbara Taylor 1995-07-12
31738,31738,2019-01-20 01:23:57,571365235126,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,116.39,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,223634609850b6ce9c6ff82a564e83ed,1327022637,45.0766,-86.91520200000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
32160,32160,2019-01-20 07:29:16,571365235126,fraud_Conroy-Cruickshank,gas_transport,56.6,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,1e7d825f495abc076a6105b625ee768b,1327044556,44.693791,-86.421054,0,Barbara Taylor,Barbara Taylor 1995-07-12
32908,32908,2019-01-20 16:17:45,571365235126,fraud_Corwin-Romaguera,travel,3.24,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,d9491cba0e4c37361fe6b690d5281bb4,1327076265,45.511794,-86.390529,0,Barbara Taylor,Barbara Taylor 1995-07-12
32979,32979,2019-01-20 16:59:31,571365235126,"fraud_O'Connell, Botsford and Hand",home,46.49,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,de20785545c4b2be935699c03d4995b1,1327078771,44.034423,-87.150651,0,Barbara Taylor,Barbara Taylor 1995-07-12
34553,34553,2019-01-21 12:00:34,571365235126,fraud_Kerluke-Abshire,shopping_net,1639.42,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,a4055c8ae37352e8955447fc776ffa99,1327147234,43.858768,-87.043538,0,Barbara Taylor,Barbara Taylor 1995-07-12
34941,34941,2019-01-21 15:01:44,571365235126,"fraud_Pouros, Walker and Spencer",kids_pets,128.37,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,b0b0ebf8d65dd3f59e77fd38b9390b68,1327158104,43.845747,-86.116095,0,Barbara Taylor,Barbara Taylor 1995-07-12
